Electrode	Theta	Phi
A1	0	0
A2	9	-90
A3	18	-90
A4	28	-90
A5	37	-90
A6	46	-90
A7	-46	75
A8	-55	75
A9	-64	78
A10	-74	78
A11	-83	79
A12	-92	79
A13	-101	79
A14	-110	78
A15	-120	78
A16	120	-90
A17	110	-90
A18	101	-90
A19	92	-90
A20	83	-90
A21	74	-90
A22	64	-90
A23	55	-90
A24	46	-75
A25	55	-75
A26	64	-78
A27	74	-78
A28	83	-79
A29	92	-79
A30	101	-79
A31	110	-78
A32	120	-78
B1	18	-54
B2	28	-66
B3	37	-54
B4	46	-60
B5	55	-60
B6	64	-66
B7	74	-66
B8	83	-68
B9	92	-68
B10	101	-68
B11	110	-66
B12	120	-66
B13	110	-54
B14	101	-56
B15	92	-56
B16	83	-56
B17	74	-54
B18	64	-54
B19	55	-45
B20	46	-45
B21	28	-42
B22	37	-36
B23	46	-30
B24	55	-30
B25	64	-42
B26	74	-42
B27	83	-45
B28	92	-45
B29	101	-45
B30	110	-42
B31	110	-30
B32	101	-34
C1	9	-18
C2	18	-18
C3	28	-18
C4	37	-18
C5	46	-15
C6	55	-15
C7	64	-18
C8	64	-30
C9	74	-30
C10	83	-34
C11	92	-34
C12	101	-23
C13	92	-23
C14	83	-23
C15	74	-18
C16	83	-11
C17	92	-11
C18	92	0
C19	83	0
C20	74	-6
C21	64	-6
C22	55	0
C23	46	0
C24	37	0
C25	28	6
C26	37	18
C27	46	15
C28	55	15
C29	64	6
C30	74	6
C31	83	11
C32	92	11
D1	9	54
D2	18	18
D3	28	30
D4	37	36
D5	46	30
D6	64	18
D7	74	18
D8	83	23
D9	92	23
D10	101	23
D11	101	34
D12	92	34
D13	83	34
D14	74	30
D15	64	30
D16	55	30
D17	46	45
D18	55	45
D19	64	42
D20	74	42
D21	83	45
D22	92	45
D23	101	45
D24	92	56
D25	83	56
D26	74	54
D27	64	54
D28	55	60
D29	64	66
D30	74	66
D31	83	68
D32	92	68
E1	18	90
E2	18	54
E3	28	54
E4	37	54
E5	46	60
E6	46	75
E7	55	75
E8	64	78
E9	74	78
E10	83	79
E11	92	79
E12	92	90
E13	83	90
E14	74	90
E15	64	90
E16	55	90
E17	46	90
E18	37	90
E19	37	72
E20	28	78
E21	-28	-78
E22	-37	-72
E23	-46	-75
E24	-55	-75
E25	-64	-78
E26	-74	-78
E27	-83	-79
E28	-92	-79
E29	-92	-68
E30	-83	-68
E31	-74	-66
E32	-64	-66
F1	-9	-54
F2	-18	-54
F3	-28	-54
F4	-37	-54
F5	-46	-60
F6	-55	-60
F7	-64	-54
F8	-74	-54
F9	-83	-56
F10	-92	-56
F11	-101	-45
F12	-92	-45
F13	-83	-45
F14	-74	-42
F15	-64	-42
F16	-55	-45
F17	-46	-45
F18	-37	-36
F19	-28	-30
F20	-18	-18
F21	-28	-6
F22	-37	-18
F23	-46	-30
F24	-55	-30
F25	-64	-30
F26	-74	-30
F27	-83	-34
F28	-92	-34
F29	-101	-34
F30	-101	-23
F31	-92	-23
F32	-83	-23
G1	-9	18
G2	-18	18
G3	-28	18
G4	-37	0
G5	-46	-15
G6	-55	-15
G7	-64	-18
G8	-74	-18
G9	-83	-11
G10	-92	-11
G11	-92	0
G12	-83	0
G13	-74	-6
G14	-64	-6
G15	-55	0
G16	-46	0
G17	-55	15
G18	-64	6
G19	-74	6
G20	-83	11
G21	-92	11
G22	-101	23
G23	-92	23
G24	-83	23
G25	-74	18
G26	-64	18
G27	-64	30
G28	-74	30
G29	-83	34
G30	-92	34
G31	-101	34
G32	-110	30
H1	-18	54
H2	-28	42
H3	-37	36
H4	-37	18
H5	-46	15
H6	-46	30
H7	-55	30
H8	-64	42
H9	-74	42
H10	-83	45
H11	-92	45
H12	-101	45
H13	-110	42
H14	-110	54
H15	-101	56
H16	-92	56
H17	-83	56
H18	-74	54
H19	-64	54
H20	-55	45
H21	-46	45
H22	-37	54
H23	-28	66
H24	-46	60
H25	-55	60
H26	-64	66
H27	-74	66
H28	-83	68
H29	-92	68
H30	-101	68
H31	-110	66
H32	-120	66
Nz	115	90
LPA	-115	0
RPA	115	0
