Electrode	Theta	Phi
A1	-92	-72
A2	-92	-54
A3	-74	-65
A4	-50	-68
A5	-60	-51
A6	-75	-41
A7	-92	-36
A8	-92	-18
A9	-72	-21
A10	-50	-28
A11	-32	-45
A12	-23	0
A13	-46	0
A14	-69	0
A15	-92	0
A16	-92	18
A17	-72	21
A18	-50	28
A19	-32	45
A20	-50	68
A21	-60	51
A22	-75	41
A23	-92	36
A24	-115	36
A25	-92	54
A26	-74	65
A27	-92	72
A28	115	-90
A29	92	-90
A30	69	-90
A31	46	-90
A32	23	-90
B1	92	90
B2	92	72
B3	92	54
B4	74	65
B5	69	90
B6	46	90
B7	50	68
B8	60	51
B9	75	41
B10	92	36
B11	92	18
B12	72	21
B13	50	28
B14	32	45
B15	23	90
B16	0	0
B17	23	0
B18	46	0
B19	69	0
B20	92	0
B21	92	-18
B22	72	-21
B23	50	-28
B24	32	-45
B25	50	-68
B26	60	-51
B27	75	-41
B28	92	-36
B29	115	-36
B30	92	-54
B31	74	-65
B32	92	-72
Nz	115	90
LPA	-115	0
RPA	115	0
